iter	Passed	Remaining
0	963	962068
1	1529	763215
2	1966	653478
3	2352	585733
4	2781	553447
5	3296	546142
6	3697	524580
7	4124	511435
8	4531	499007
9	4978	492892
10	5447	489786
11	5897	485580
12	6334	480936
13	6789	478180
14	7228	474661
15	7628	469164
16	8041	465008
17	8449	460983
18	8865	457754
19	9429	462028
20	9853	459373
21	10410	462795
22	10971	466043
23	11513	468207
24	11969	466796
25	12496	468147
26	12996	468371
27	13465	467441
28	14067	471010
29	14523	469591
30	15058	470702
31	15564	470822
32	16135	472819
33	16670	473648
34	17183	473782
35	17673	473252
36	18269	475492
37	18860	477464
38	19303	475651
39	20014	480347
40	20485	479154
41	20941	477676
42	21410	476503
43	21924	476369
44	22567	478935
45	23329	483831
46	23778	482152
47	24223	480442
48	24619	477825
49	25037	475714
50	25712	478455
51	26524	483564
52	27104	484302
53	27498	481728
54	27936	480001
55	28577	481736
56	29159	482410
57	29705	482452
58	30160	481026
59	30607	479510
60	31141	479374
61	31532	477052
62	31959	475327
63	32709	478376
64	33265	478515
65	33668	476453
66	34457	479826
67	35465	486090
68	36183	488219
69	36986	491386
70	37702	493321
71	38235	492810
72	38800	492717
73	39291	491677
74	39801	490888
75	40629	493971
76	41209	493975
77	41685	492743
78	42221	492226
79	42852	492799
80	43312	491412
81	43911	491597
82	44603	492783
83	45054	491304
84	45743	492412
85	46583	495090
86	47302	496401
87	47870	496110
88	48314	494546
89	48953	494970
90	49416	493620
91	50053	494004
92	50679	494266
93	51183	493325
94	51786	493331
95	52200	491559
96	52776	491312
97	53451	491974
98	53946	490969
99	54365	489287
100	54870	488401
101	55489	488524
102	56247	489844
103	57069	491679
104	57617	491116
105	58220	491033
106	58677	489708
107	59454	491048
108	60021	490638
109	60876	492549
110	61301	490966
111	61913	490886
112	62677	491986
113	63323	492144
114	63983	492396
115	64559	491986
116	65335	493090
117	65938	492860
118	66622	493228
119	67375	494090
120	68176	495262
121	68611	493779
122	69232	493631
123	69673	492209
124	70129	490903
125	70587	489632
126	71233	489662
127	72030	490708
128	72812	491625
129	73531	492096
130	74186	492124
131	74575	490387
132	75056	489276
133	75593	488538
134	75992	486912
135	76656	486994
136	77450	487880
137	78302	489104
138	78815	488204
139	79368	487547
140	80015	487471
141	80839	488453
142	81519	488547
143	82121	488165
144	82694	487614
145	83149	486365
146	83673	485531
147	84175	484575
148	84843	484574
149	85607	485111
150	86255	484972
151	86934	485004
152	87650	485227
153	88520	486287
154	89194	486256
155	89844	486080
156	90428	485548
157	91014	485026
158	91671	484879
159	92328	484722
160	92911	484176
161	93533	483835
162	94063	483011
163	94608	482273
164	95126	481396
165	95512	479865
166	96204	479871
167	96824	479510
168	97574	479789
169	98249	479691
170	98851	479226
171	99407	478545
172	100030	478181
173	100479	476987
174	101178	476983
175	101735	476309
176	102302	475679
177	102859	475003
178	103563	475004
179	104149	474459
180	104546	473057
181	105358	473533
182	105787	472286
183	106490	472262
184	107186	472198
185	108048	472856
186	109459	475884
187	110620	477786
188	111401	478026
189	112258	478577
190	113134	479193
191	113876	479229
192	114723	479698
193	115481	479782
194	116206	479724
195	117010	479983
196	117700	479762
197	118549	480185
198	119250	479999
199	119774	479098
200	120867	480463
201	121870	481448
202	122666	481602
203	123364	481362
204	124335	482180
205	125154	482392
206	125856	482145
207	126615	482113
208	127368	482050
209	128030	481638
210	129007	482403
